iso_code,country,year,population,electricity_perc,biofuel_pct,coal_pct,gas_pct,hydro_pct,nuclear_pct,oil_pct,solar_pct,wind_pct
ALB,Albania,1985,2969671.0,,,,,,,,,
ALB,Albania,1986,3044201.0,,,,,,,,,
ALB,Albania,1987,3124892.0,,,,,,,,,
ALB,Albania,1988,3200972.0,,,,,,,,,
ALB,Albania,1989,3257913.0,,,,,,,,,
ALB,Albania,1990,3286070.0,1004.239,0.0,0.0,0.0,86.364,0.0,13.635999999999997,0.0,0.0
ALB,Albania,1991,3280397.0,1164.493,0.0,0.0,0.0,92.147,0.0,7.853000000000001,0.0,0.0
ALB,Albania,1992,3245887.0,1047.479,0.0,0.0,0.0,95.0,0.0,5.0,0.0,0.0
ALB,Albania,1993,3195196.0,1104.784,0.0,0.0,0.0,93.768,0.0,6.232,0.0,0.0
ALB,Albania,1994,3146518.0,1252.178,0.0,0.0,0.0,95.685,0.0,4.315,0.0,0.0
ALB,Albania,1995,3112923.0,1435.949,0.0,0.0,0.0,93.96,0.0,6.04,0.0,0.0
ALB,Albania,1996,3098699.0,1933.069,0.0,0.0,0.0,95.659,0.0,4.341,0.0,0.0
ALB,Albania,1997,3099747.0,1687.234,0.0,0.0,0.0,96.176,0.0,3.824,0.0,0.0
ALB,Albania,1998,3110699.0,1642.718,0.0,0.0,0.0,96.282,0.0,3.718,0.0,0.0
ALB,Albania,1999,3122700.0,1735.677,0.0,0.0,0.0,97.417,0.0,2.583,0.0,0.0
ALB,Albania,2000,3129246.0,1524.329,0.0,0.0,0.0,96.226,0.0,3.7740000000000005,0.0,0.0
ALB,Albania,2001,3129701.0,1191.807,0.0,0.0,0.0,95.442,0.0,4.558,0.0,0.0
ALB,Albania,2002,3126183.0,1196.347,0.0,0.0,0.0,93.85,0.0,6.15,0.0,0.0
ALB,Albania,2003,3118017.0,1603.583,0.0,0.0,0.0,97.8,0.0,2.2,0.0,0.0
ALB,Albania,2004,3104893.0,1806.826,0.0,0.0,0.0,97.504,0.0,2.496,0.0,0.0
ALB,Albania,2005,3086810.0,1762.337,0.0,0.0,0.0,98.713,0.0,1.287,0.0,0.0
ALB,Albania,2006,3063021.0,1802.142,0.0,0.0,0.0,98.37,0.0,1.63,0.0,0.0
ALB,Albania,2007,3033993.0,942.652,0.0,0.0,0.0,97.552,0.0,2.448,0.0,0.0
ALB,Albania,2008,3002683.0,1265.535,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ALB,Albania,2009,2973044.0,1749.049,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ALB,Albania,2010,2948029.0,2567.817,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
ALB,Albania,2011,2928601.0,1430.717,0.0,0.0,0.0,98.568,0.0,1.432,0.0,0.0
